References,Qty,Description,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Digikey,Mouser,RS,Newark,Farnell
Q1,1,SOT416 BC846,ON Semiconductor,BC847BTT1G,,,,,BC847BTT1GOSDKR-ND,863BC847BTT1G,8009614P,,2464041
U2,1,LCD-F-91W,,,,,,,,,,,
"C2, C3",2,Capacitor SMD 0402  22pF,KEMET,C0603C180J5GAC TU.,KEMET,C0603C180J5GACTU,Yageo,CC0402JRNPO9BN220,311-1018-6-ND,603CC402JRNPO9BN220,1699965,,3019184
"C8, C4, C5, C6, C7",5,Capacitor SMD 0402 100nF,KEMET,C0603C104K5RACTU,TDK,C1005X7R1E104K050BB,Murata,GRM155R71C104KA88D,490-3261-1-ND,81GRM155R71C104KA88,6242317,,2525045
C1,1,Capacitor SMD 0402 4.7uF,TDK,C1005X5R0J475K050BC,,,,,445-5947-1-ND,810C1005X5R0J475K,7882821,,2346876
U1,1,16-bit Microcontroller (TI),Texas Instruments,MSP430FR6972IRGCR,,,,,296-49839-1-ND,595430FR6972IRGCR,,,
R2,1,Resistor SMD 0402 47k,Yageo,RC0402FR-0747KL,,,,,311-47.0KLRDKR-ND,603RC0402FR0747KL,,,2459293
"R1, R3",2,Resistor SMD 0402 10k,Vishay,CRCW040210K0FKED,Panasonic,ERJ-2RKF1002X,Yageo,RC0402FR-0710KL,311-10.0KLRCT-ND,603RC0402FR0710KL,1067096,,2144755
U3,1,TSOP57xxx TSOP57xxx,Vishay,TSOP57438TT1,,,,,TSOP57438TT1CT-ND,78TSOP57438TT1,,,2251385
U4,1,,NXP Semiconductors,MAG3110FCR1,,,,,,,,,2080492
